location_id,location_name,location_district,facility_code,facility_name
350,Malembo Health Centre (Lilongwe),Lilongwe,LL040809,Malembo Health Centre (Lilongwe)
1007,Malembo Health Centre (Mangochi),Mangochi,MG200808,Malembo Health Centre (Mangochi)
351,Malidadi Health Centre,Mzimba North,MZ160812,Malidadi Health Centre
947,Malmed Private Clinic,Blantyre,BT240815,Malmed Private Clinic
354,Malombe Health Centre,Mangochi,MG200817,Malombe Health Centre
1051,Malowa Health Centre (Nkhota-kota),Nkhota-kota,NK100819,Malowa Health Centre (Nkhota-kota)
1017,Malukula Health Centre (Mangochi),Mangochi,MG200820,Malukula Health Centre (Mangochi)
1011,Mama Khadija Private Clinic (Namwera),Mangochi,MG200824,Mama Khadija Private Clinic (Namwera)
357,Mangamba Dispensary,Machinga,,Mangamba Dispensary
1002,Mangamba Health Centre (Machinga),Mangochi,MC190827,Mangamba Health Centre (Machinga)
1009,Mangochi Banja La Mtsogolo Dispensary,Mangochi,MG200828,Mangochi Banja La Mtsogolo Dispensary
1098,Mangochi DIC,Mangochi,MG201858,Mangochi DIC
358,Mangochi District Health Office,Mangochi,MG200829,Mangochi District Health Office
1099,Mangochi FPAM,Mangochi,MG201857,Mangochi FPAM
360,Mangochi Health Area,Mangochi,,Mangochi Health Area
361,Mangochi Health District,Mangochi,,Mangochi Health District
1106,Mangochi Medi Clinic,Mangochi,,Mangochi Medi Clinic
1079,Mangochi Pakachere DIC,Mangochi,MG201562,Mangochi Pakachere DIC
362,Mangunda Maternity,Thyolo,TH310780,Mangunda Maternity
363,Manjawira Maternity,Ntcheu,NT120831,Manjawira Maternity
821,Manolo Health Centre,Mzimba North,MZ161563,Manolo Health Centre
364,Manyamula Health Centre,Mzimba South,MZ160834,Manyamula Health Centre
366,Mapanga Maternity,Thyolo,TH310839,Mapanga Maternity
700,Martin Preuss Centre,Lilongwe,LL040996,Martin Preuss Centre
1130,Masasa Dispensary,Mangochi,MG201859,Masasa Dispensary
368,Masasa Health Centre,Ntcheu,NT120844,Masasa Health Centre
371,Matanda Health Centre (Dispensary),Ntcheu,NT120853,Matanda Health Centre (Dispensary)
374,Matawale Urban Health Centre,Zomba,ZA230856,Matawale Urban Health Centre
376,Matiya Health Centre,Zomba,ZA230861,Matiya Health Centre
378,Matuli Health Centre,Mzimba North,MZ160863,Matuli Health Centre
379,Matumba Health Centre,Dedza,DE030864,Matumba Health Centre
810,Maula Health Centre (Nkhata Bay),Nkhata Bay,KB050865,Maula Health Centre (Nkhata Bay)
794,Maula Prison Health Centre,Lilongwe,LL040866,Maula Prison Health Centre
381,Mauwa Maternity,Chiradzulu,CR260867,Mauwa Maternity
1052,Mazunga Private Clinic (Nkhota-kota),Nkhota-kota,NK101828,Mazunga Private Clinic (Nkhota-kota)
385,Mbalachanda Health Centre,Mzimba South,MZ160873,Mbalachanda Health Centre
386,Mbalanguzi Dispensary,Thyolo,TH310875,Mbalanguzi Dispensary
1103,Mbanila Health Centre,Machinga,MC190879,Mbanila Health Centre
957,Mbayani Health Centre,Blantyre,BT240881,Mbayani Health Centre
393,Mbonechera Health Centre,Machinga,MC190888,Mbonechera Health Centre
395,Mbulumbudzi Maternity,Chiradzulu,CR260889,Mbulumbudzi Maternity
397,Mchacha Dispensary,Nsanje,NS300893,Mchacha Dispensary
398,Mchinji District Health Office,Mchinji,MC010898,Mchinji District Health Office
400,Mchinji Health Area,Mchinji,,Mchinji Health Area
401,Mchinji Health District,Mchinji,,Mchinji Health District
1038,Mdunga Health Centre (Kasungu),Kasungu,KU070902,Mdunga Health Centre (Kasungu)
1055,Medicare City Centre Clinic (Blantyre),Blantyre,BT240904,Medicare City Centre Clinic (Blantyre)
903,Mgabu Banja La Mtsogolo Dispensary,Chikwawa,,Mgabu Banja La Mtsogolo Dispensary
405,Mhalaunda Health Centre,Mzimba South,MZ160912,Mhalaunda Health Centre
757,Midzemba Health Centre,Lilongwe,NE290919,Midzemba Health Centre
407,Migowi Health Centre,Phalombe,PH220920,Migowi Health Centre
409,Mikondo Dispensary,Dedza,DE030923,Mikondo Dispensary
982,Minimini Dispensary (Mulanje),Mulanje,MU210933,Minimini Dispensary (Mulanje)
415,Misamvu Dispensary,Nsanje,NS300936,Misamvu Dispensary
418,Mitsidi Dispensary,Blanytyre,BT240722,Mitsidi Dispensary
419,Mitundu Rural Hospital,Lilongwe,LL040945,Mitundu Rural Hospital
421,Mkango Dispensary,Nsanje,NS300948,Mkango Dispensary
422,Mkhota Rural Growth Health Centre,Kasungu,KU070950,Mkhota Rural Growth Health Centre
425,Mkoma Health Centre,Mzimba South,MZ160954,Mkoma Health Centre
430,Mlambe Hospital,Blantyre,BT240962,Mlambe Hospital
432,Mlangali Dispensary,Dedza,DE030964,Mlangali Dispensary
434,Mlangeni Police Health Centre,Ntcheu,NT121930,Mlangeni Police Health Centre
435,Mlodza SDA Dispensary,Lilongwe,LL040968,Mlodza SDA Dispensary
