OrgUnit ID,OrgUnit Name
qY3GH22ifOb,Luvwere Dispensary
qBxArP5yT1I,Luwalika Health Centre
y3FF95NnZzl,Luwani Health Centre
qRO40W7cmWx,Luwawa Health Centre
upbCscjsSDs,Luwerezi Health Centre
Ie6bXE64qOA,Luwuchi Health Centre
p9HxhQYtEuW,Luzi Health Centre
h7qFHIsVs04,Lwazi Health Centre
eXttdubBDLr,Lwezga Health Centre
PFhr83vxGgZ,M'mambo Heaith Centre
vv5AP3nMhAz,Mabili Health Centre
HN3xPrwEli4,Machinga District Hospital
cYYZv88xBL6,Machinga Health Centre
LtrODoKSSgr,Machinjiri Health Centre
ZZNgP1RcC8H,Macro Blantyre 
dLEhItCFbai,Macro Lilongwe 
n6SrNst4ONq,Macro Mzuzu 
p3frzwQQnXF,Madede Health Centre
NTDKX0ejDoi,Madina Mobile Clinic
g9wv1lKcdzp,Madisi Hospital
JA9Ekal0Y2p,Madziabango Health Centre
gSVQoPw8dRz,Maera Health Centre
mmyOCoj42DP,Maere Health Centre
ael27YuIvji,Mafco Health Centre
N2OEuMkn2z4,Mafisi clinic
NPgTh8ar7Rg,Maganga Health Centre
NFqFeBSH2Re,Magareta Health Centre
MfSWVpArbHS,Magomero Health Centre
TkKOmywmjVx,Mahowe Health Centre
Tqy9Hzt0HYy,Majete 2 (Hunger)Health Centre
vZcq1BL4eig,Majete-3 (Hunger)Health Centre
HHK489bchmI,Majete1 (Hunger) Health Centre
ogCJRAEA06f,Makanjira Health Centre
a6SFNf7F567,Makapwa Health Centre
eZfOjVQcd0e,Makata Health Centre
TRDY52stPkd,Makhanga Health Centre
tCNxro4FiTA,Makhetha Dispensary
fmm167XcK2T,Makhwira Health Centre
H37Fo6H2Roi,Makiyoni Health Centre
q3B88KiRZ72,Makungwa Health Centre(Bvumbwe)
ctDR10R37Rw,Makwapala Health Centre
joh9QZI3a96,Makwasa Estate Clinic
SsBkD3XDOD7,Malabada Health Centre
kcEdNoW9QOb,Malambo Health Centre
MFvBkN5jzRF,Malamulo Day Clinic
UKeSrLQeuCm,Malamulo Hospital
Q7j0Yk4fDmo,Malawi Army Marine Camp Hospital 
fCSQlctoCLr,Maldeco Fisheries Clinic
UKbySUaELNM,Malembo Health Centre
tOaGG2xPLDm,Malembo Health Centre (Lilongwe)
BvmZAEbFgHw,Malidadi Health Centre
lP4THWArWA7,Malingunde Health Centre
obDGwQJFj5d,Malmed Private Clinic
n9kEwAvGSIu,Malombe Dispensary
mxfexio2lQ4,Malomo Health Centre
rKEqKuoGeKQ,Malowa Health Centre
dOgr5wPfLaq,Malukula Health Centre
LL3TLeE40xi,Maluwa Health Centre
xdPgIAQLQ6L,Mama Khadija Private ClinicNamwera 
zt2Jzw6wUcc,Mangamba Health Centre
vGbcjNT1TSJ,Mangochi District Hospital
GPslmIQyIyJ,Mangulenje Health Centre
